ISBN,bookTitle,bookAuthor,yearOfPublication,publisher
978-8120349391,Automotive Mechanics Srinivasan,SRINIVASAN,2017,TMH
978-0198083542,Interrnal Conbustion Engines Ganeshan,GANESHAN,2017,TMH
978-9351341741,Control Systems Anand Kumar,ANAND KUMAR,2017,PHI
978-9351343257,Digital Control Systems Kuo,KUO,2017,OXFORD
978-9385880506,Introdution To Game Theory Osborne,OSBORNE,2017,OXFORD
978-0070146150,Advanced Engginering Mathematics Berg,GREEN BERG,2017,PEARSON
978-0198070887,Engineering Mathematic I & Ii Se Gup,GUPTA,2017,TMH
978-9339220921,Systems Program Ming Donovan,DONOVAN,2017,TMH
978-0198094869,The 8051 Microcontroller Mazdi,MAZDI,2017,PEARSON
978-8173716126,Advanced Computer Architecture Hwang,HWANG,2017,TMH
978-0070634244,Vlsi Design Das,DAS,2017,OXFORD
978-9358920921,Fundamentals Of Computer Algorithms Hor,HOROWITZ,2017,UNI PRESS
978-9335620921,Electronic Principles Malvino,MALVINO,2017,TMH
978-8131710265,Engineering Mathmatics Singh,SINGH,2017,TMH
978-9385965029,Fluide Power With Applications Esposito,ESPOSITO,2017,PEARSON
9.78813E+12,Big data for dummies Judith,"""JUDITH HURWITZ, ALAN""",2013,"""WILEY PUBLICATIONS,"""
978-9339221270,Understanding Big data: Analytics Chris,"""CHRIS EATON, DIRK DEROOS ET AL """,2017,"""TATA MCGRAW HILL, 2015, """
978-8131758182,Linux Kernel Development Love,ROBERT LOVE,2010,PEARSON EDUCATION
978-9332518414,Speech and Language Processing  Dan,"""DANIEL JURAFSKY AND JAMES H MARTIN, """,2013,PEARSON EDUCATION
978-0262033848.,Introduction to Algori Thom,"""THOMAS H. CORMEN, CHARLES E. """,2009,""" MIT PRESS, /PHI"""
978-8131714744,Data Structures & Algorithm s Mark,MARK ALLEN WEISS,2013,ADDISON-WESLEY
978-9332549746,Unix Network Programming Sockets Richa,"""W.RICHARD STEVENS, BILL FENNER, """,2010,PEARSON EDUCATION
978-9332550100,Internetworking with TCP/IP Vol 1 Comer,"""COMER, STEVENS""",2015,PEARSON EDUCATION
978-1259029950,Mastering Cloud Comp Rajkumar,""" RAJKUMAR BUYYA, CHRISTIAN VECCHIOLA""",2017,"""TATA MCGRAW HILL, """
978-9332549449,The C Programming Ritchie,"""KERNIGHAN B.W AND DENNIS M. RITCHIE, """,2015,PEARSON EDUCATION
978-9387284494,Let Us C Kanet,YASHAVANT P. KANETKAR.,2017,""" BPB PUBLICATIONS, 2016"""
978-8131708071,Introduction To Parallel Computin Ananth,"""ANANTHGRAMA, ANSHUL GUPTA, """,2013,PEARSON EDUCATION
978-9351071785,A Developers Guide to Parallel Cuda,CUDA PROGRAMMING,2013,"""MORGAN KAUFMANN(MK) PUBLICATION,"""
978-8131502006,The 8051 Microcontr Architecture Ayaka,"""KENNETH J. AYALA, """,2017,"""THOMSON LEARNING,"""
978-0-07-066925-3,"Probability, Statistics and Random veer",T. VEERARAJAN,2017,TATA MCGRAW HILL EDUCATION PRIVATE LIMITED
978-8131528259,Principles of Information Security Whit,MICHAEL E. WHITMAN AND HERBERT J. MATTOR,2017,CENGAGE LEARNING
978-9380501932,Computer Networks: A System larry,LARRY PETERSON AND BRUCE S DAVIS,2017,ELSEVIER
978-8131706886,Ad-hoc Wireless Siva,C. SIVA RAM MURTHY & B. S. MANOJ,2017,PEARSON EDUCATION
